Thread ID: 131290
Total: 0.030705

 %self     total     self     wait    child    calls  name
  0.10      0.00     0.00     0.00     0.00        2  ActionView::TemplateHandlers#template_handler_extensions
  0.10      0.00     0.00     0.00     0.00        5  Array#include?
  0.10      0.00     0.00     0.00     0.00        2  ActionView::Template#_unmemoized_path_without_extension
  0.10      0.00     0.00     0.00     0.00        7  ActionController::Base#logger
  0.10      0.00     0.00     0.00     0.00        3  ActionController::Rescue#rescues_path
  0.10      0.00     0.00     0.00     0.00        2  ActionView::Template#format_and_extension
  0.10      0.00     0.00     0.00     0.00       10  String#count
  0.09      0.00     0.00     0.00     0.00        1  ActionController::AbstractResponse#set_content_length!
  0.09      0.00     0.00     0.00     0.00        2  Array#map!
  0.09      0.00     0.00     0.00     0.00        3  ActiveSupport::BufferedLogger#clear_buffer
  0.09      0.00     0.00     0.00     0.00        4  HashWithIndifferentAccess#delete
  0.09      0.00     0.00     0.00     0.00       10  Kernel#==
  0.09      0.00     0.00     0.00     0.00        2  ActionView::Template#_unmemoized_format_and_extension
  0.09      0.02     0.00     0.00     0.02        1  ActionController::Dispatcher#dispatch_unlocked
  0.09      0.00     0.00     0.00     0.00        1  CGI::Session::CookieStore#unmarshal
  0.09      0.00     0.00     0.00     0.00        3  ActionController::AbstractRequest#parameters
  0.09      0.00     0.00     0.00     0.00        1  Array#select
  0.09      0.00     0.00     0.00     0.00        2  ActionView::Template#_unmemoized_path
  0.09      0.00     0.00     0.00     0.00        2  Kernel#instance_variable_names
  0.09      0.00     0.00     0.00     0.00        9  Kernel#instance_variable_set
  0.09      0.00     0.00     0.00     0.00        2  ActionController::AbstractRequest#method
  0.09      0.00     0.00     0.00     0.00        3  Kernel#extend
  0.09      0.00     0.00     0.00     0.00        2  ActionView::Template#find_full_path
  0.08      0.00     0.00     0.00     0.00        7  Kernel#String
  0.08      0.00     0.00     0.00     0.00        2  ERB::Compiler::Buffer#initialize
  0.08      0.00     0.00     0.00     0.00        2  ActiveSupport::Callbacks::Callback#should_run_callback?
  0.08      0.00     0.00     0.00     0.00        3  Array#-
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#to_plain_segments
  0.08      0.00     0.00     0.00     0.00        2  ActionController::Components::InstanceMethods#flash
  0.08      0.00     0.00     0.00     0.00        2  ActionView::Base#_evaluate_assigns_and_ivars
  0.08      0.00     0.00     0.00     0.00        5  ActionController::Base#request
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Integration::Session#requestify
  0.08      0.00     0.00     0.00     0.00        1  ActiveSupport::Rescuable#handler_for_rescue
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Base#assign_shortcuts_without_flash
  0.08      0.00     0.00     0.00     0.00        1  CGI::Session::CookieStore#ensure_secret_secure
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Flash::InstanceMethods#flash_without_components
  0.08      0.00     0.00     0.00     0.00        2  ActionView::Renderable#recompile?
  0.08      0.00     0.00     0.00     0.00        1  <Module::Marshal>#dump
  0.08      0.00     0.00     0.00     0.00        1  ActionController::StatusCodes#interpret_status
  0.08      0.00     0.00     0.00     0.00        4  ActiveSupport::BufferedLogger#flush
